K%C3%BCssnacht+am+Rigi,47.0839993,8.4598929,https://goo.gl/maps/LrivxS1ydWXnaDT97
Gisikon-Root,47.115593,8.3921927,https://goo.gl/maps/5J5PWA2mvsjfijhM8
Zug,47.1854561,8.4677823,https://goo.gl/maps/TE6xrBLejeWg3qmu9
Baar,47.1954778,8.5215028,https://goo.gl/maps/18MfZrQsWLHe4an5A
Cham,47.1773076,8.4628567,https://goo.gl/maps/XEvQjGF8r74WyfRJ7
Einsiedeln,47.1230481,8.7409491,https://goo.gl/maps/v75p8FSVWHpqReX7A
Schindellegi-Feusisberg,47.1728007,8.7124311,https://goo.gl/maps/SfNrW9pQCM7eia9i7
Fl%C3%BCelen,46.9024212,8.6223065,https://goo.gl/maps/gHA34uuXwxZNTif88
Interlaken-West,46.6821446,7.8809921,https://goo.gl/maps/ztL4BJKq494Eo45j6
Wangen+an+der+Aare,47.2342324,7.6568333,https://goo.gl/maps/3VuSXir4iSMqjsij6
Lausanne+Chauderon,46.5118664,6.6111904,https://goo.gl/maps/25WG7JQu2QZupZKj7
Sierre%2FSiders,46.2893376,7.5279831,https://goo.gl/maps/R9shicx4CnrYgVsD6
Zermatt,46.0239715,7.7450172,https://goo.gl/maps/ZCDgnzQEhfifuMYn6
G%C3%B6schenen,46.6652225,8.5876286,https://goo.gl/maps/P9zgU4wxkMUwn4ZB9
Disentis%2FMust%C3%A9r,46.7048497,8.8535678,https://goo.gl/maps/WRFKccfSH8gpdGru5
Ilanz,46.7805225,9.1440681,https://goo.gl/maps/pJXm1z2UUrSZ9SHN9
Reichenau-Tamins,46.822625,9.4036538,https://goo.gl/maps/ZH7eR2o2nUAMM6Me8
Thusis,46.6959144,9.4344307,https://goo.gl/maps/5Fyga8PjbSL4KY5Y9
Zuoz,46.5788534,9.8991936,https://goo.gl/maps/XoUFbEAZk11jgBLD6
Zernez,46.697337,10.0876211,https://goo.gl/maps/zT9JGMBCbce3LwQh6
Davos+Dorf,46.8072086,9.8364884,https://goo.gl/maps/HmpGkXMjKDNMDR1k8
Schwanden+GL,46.9968656,9.0535163,https://goo.gl/maps/EmaEXC1pq7EQcDM5A
Brunnen,46.9902202,8.568572,https://goo.gl/maps/q3g782zk9rC5hDxC8
Lungern,46.7838892,8.1555036,https://goo.gl/maps/5jYxvt78yGi6tHvR9
Meiringen,46.7258653,8.1727388,https://goo.gl/maps/H9stW8MkVNS77TRR8
Grindelwald,46.6119177,8.0192059,https://goo.gl/maps/cqBaXgRzQ2QBfMHX6
Spiez,46.6871265,7.6658905,https://goo.gl/maps/7ZNVS9tk4KW5MDSJ7
Frutigen,46.5917817,7.6384213,https://goo.gl/maps/viBaFgksMVqBSwph8
Kandersteg,46.5060716,7.669671,https://goo.gl/maps/W9pHoGdN5ayoPzhe9
